URL,Product_id,BrandName,Category,Individual_category,category_by_Gender,Description,DiscountPrice (in Rs),OriginalPrice (in Rs),DiscountOffer,SizeOption,Ratings,Reviews
https://www.myntra.com/shirts/mast--harbour/mast--harbour-men-brown-slim-fit---casual-linen-cotton-sustainable-shirt/2444566/buy,2444566,Mast & Harbour,Topwear,shirts,Men,mast  harbour men brown slim fit   casual linen cotton sustainable shirt,1209,2199,45% OFF,"38, 40, 42, 44",3.6,925
https://www.myntra.com/tops/her-by-invictus/her-by-invictus-navy-blue--white-floral-pleated-top/11735666/buy,11735666,her by invictus,Western,tops,Women,her by invictus navy blue  white floral pleated top,,699,50% OFF,"S, M, L, XL, XXL",4.3,925
https://www.myntra.com/tops/harpa/harpa-women-yellow-floral-printed-round-neck-top/13377766/buy,13377766,Harpa,Western,tops,Women,harpa women yellow floral printed round neck top,,999,47% OFF,"XS, S, M, L, XL",4.2,925
https://www.myntra.com/track-pants/hrx-by-hrithik-roshan/hrx-by-hrithik-roshan-teal-blue-active-joggers/1912701/buy,1912701,HRX by Hrithik Roshan,Bottom Wear,track-pants,Men,hrx by hrithik roshan teal blue active joggers,1104,1699,35% OFF,"S, M, L, XL, XXL",3.9,924
https://www.myntra.com/tshirts/bewakoof/bewakoof-men-white-solid-round-neck-pure-cotton-t-shirt/13819100/buy,13819100,Bewakoof,Topwear,tshirts,Men,bewakoof men white solid round neck pure cotton t shirt,449,499,10% OFF,"S, M, L, XL, XXL, 3XL",4.1,924
https://www.myntra.com/tshirts/roadster/roadster-women-white-solid-round-neck-t-shirt/11398830/buy,11398830,Roadster,Western,tshirts,Women,roadster women white solid round neck t shirt,,799,65% OFF,"XS, S, M, L, XL",4,924
https://www.myntra.com/tshirts/roadster/roadster-men-navy-blue--red-striped-pure-cotton-polo-collar-applique-pure-cotton-t-shirt/1396021/buy,1396021,Roadster,Topwear,tshirts,Men,roadster men navy blue  red striped pure cotton polo collar applique pure cotton t shirt,629,1399,55% OFF,"XS, S, M, L, XL, XXL, 3XL, 4XL",4.2,923
https://www.myntra.com/dresses/dressberry/dressberry-women-navy-blue-solid-tiered-a-line-dress/11183816/buy,11183816,DressBerry,Western,dresses,Women,dressberry women navy blue solid tiered a line dress,,1999,60% OFF,"XS, S, M, L, XL",4.1,923
https://www.myntra.com/kurta-sets/indo-era/indo-era-women-navy-blue-yoke-design-kurta-with-trousers--dupatta/13250072/buy,13250072,Indo Era,Indian Wear,kurta-sets,Women,indo era women navy blue yoke design kurta with trousers  dupatta,1563,3399,54% OFF,"XS, S, M, L, XL, XXL",4.4,922
https://www.myntra.com/tshirts/hrx-by-hrithik-roshan/hrx-by-hrithik-roshan-women-red-solid-round-neck-t-shirt/7688063/buy,7688063,HRX by Hrithik Roshan,Sports Wear,tshirts,Women,hrx by hrithik roshan women red solid round neck t shirt,584,1299,55% OFF,"XS, S, M, L, XL",4.4,922
https://www.myntra.com/tops/miss-chase/miss-chase-pink-floral-printed-tie-up-neck-crepe-maxi-longline-top/13916976/buy,13916976,Miss Chase,Western,tops,Women,miss chase pink floral printed tie up neck crepe maxi longline top,,2549,61% OFF,"XS, S, M, L, XL",4.1,922
https://www.myntra.com/trousers/tokyo-talkies/tokyo-talkies-women-black-straight-fit-solid-regular-trousers/12292256/buy,12292256,Tokyo Talkies,Western,trousers,Women,tokyo talkies women black straight fit solid regular trousers,,999,48% OFF,"28, 30, 32, 34",3.8,922
https://www.myntra.com/shirts/roadster/roadster-men-grey--navy-blue-regular-fit-checked-casual-shirt/6849362/buy,6849362,Roadster,Topwear,shirts,Men,roadster men grey  navy blue regular fit checked casual shirt,854,1899,55% OFF,"38, 40, 42, 44",4.2,921
https://www.myntra.com/kurta-sets/ahika/ahika-women-maroon--brown-printed-kurta-with-trousers--dupatta/13415698/buy,13415698,AHIKA,Indian Wear,kurta-sets,Women,ahika women maroon  brown printed kurta with trousers  dupatta,1678,3997,58% OFF,"XS, S, M, L, XL, XXL, 3XL, 4XL",4,921
https://www.myntra.com/kurta-sets/anubhutee/anubhutee-women-navy-blue-ethnic-motifs-embroidered-thread-work-kurta-with-trousers--with-dupatta/16331376/buy,16331376,Anubhutee,Indian Wear,kurta-sets,Women,anubhutee women navy blue ethnic motifs embroidered thread work kurta with trousers  with dupatta,1861,4899,62% OFF,"S, M, L, XL, XXL",4.1,921
https://www.myntra.com/lounge-pants/domyos-by-decathlon/domyos-by-decathlon-women-grey-pink-solid-regular-fit-organic-cotton-yoga-pants/12965938/buy,12965938,Domyos By Decathlon,Lingerie & Sleep Wear,lounge-pants,Women,domyos by decathlon women grey pink solid regular fit organic cotton yoga pants,,799,,"XS, S, M, L, XL, XXL, 3XL",4.5,921
